Date,GLD.BK_Close_Price_THB,GLD.BK_Adj_close_PriceTHB,GLD_USD/oz,USD/THB_Exchange_Rate,Federal_Funds_Effective_Rate%,TH_PriceTHB
2020-02-07,2.04,2.04,148.38,31.19,0.4574248470388755,30400.0
2020-01-31,2.04,2.04,147.4,30.99,0.4382549309311553,30400.0
2020-01-24,2.04,2.04,148.47,30.97,0.4382549309311553,30400.0
2020-01-17,2.0,2.0,147.12,30.376,0.4382549309311553,30400.0
2020-01-10,1.99,1.99,146.31,30.276,0.4382549309311553,30400.0
2020-01-03,1.99,1.99,146.03,30.34,0.4382549309311553,30400.0
2019-12-27,1.97,1.97,143.95,30.06,0.4382549309311553,22300.0
2019-12-20,1.93,1.93,142.38,30.155,0.4382549309311553,22300.0
2019-12-13,1.89,1.89,139.38,30.213,0.4382549309311553,22300.0
2019-12-06,1.9,1.9,138.43,30.23,0.4382549309311553,22300.0
2019-11-29,1.88,1.88,139.0,30.28,0.4382549309311553,22300.0
2019-11-22,1.86,1.86,137.01,30.2349,0.4382549309311553,22300.0
2019-11-15,1.88,1.88,138.0,30.183,0.4382549309311553,22300.0
2019-11-08,1.87,1.87,138.56,30.236,0.4382549309311553,22300.0
2019-11-01,1.88,1.88,138.27,30.29,0.4382549309311553,22300.0
2019-10-25,1.93,1.93,142.43,30.1827,0.6043159668533296,22300.0
2019-10-18,1.93,1.93,141.53,30.27,0.6043159668533296,22300.0
2019-10-11,1.92,1.92,140.61,30.36,0.6043159668533296,22300.0
2019-10-04,1.94,1.94,140.81,30.311,0.6043159668533296,22300.0
2019-09-27,1.95,1.95,141.9,30.583,0.712949807856125,22300.0
2019-09-20,1.96,1.96,141.79,30.58,0.712949807856125,22300.0
2019-09-13,1.93,1.93,141.28,30.54,0.712949807856125,22300.0
2019-09-06,1.95,1.95,141.32,30.562,0.712949807856125,22300.0
2019-08-30,1.96,1.96,143.14,30.527,0.7561219797213337,22300.0
2019-08-23,1.99,1.99,144.12,30.62,0.7561219797213337,22300.0
2019-08-16,1.93,1.93,141.4,30.774,0.7561219797213337,22300.0
2019-08-09,1.98,1.98,143.7,30.83,0.7561219797213337,22300.0
